cz,City,State,Unique state,Employment_Rate,Rent,Annual Income
cz26405,Scobey, MT, MT,0.89,752.00,61502.00
cz27012,Gettysburg, SD, SD,0.88,626.00,53697.00
cz26204,Steele, ND, ND,0.87,509.00,62766.00
cz21202,Redwood Falls, MN, MN,0.86,592.30,59239.00
cz26601,Milbank, MN & SD, MN,0.86,564.30,58972.00
cz27010,Miller, SD, SD,0.86,529.10,62010.00
cz26502,Madison, SD, SD,0.86,581.50,58516.00
cz27007,Huron, SD, SD,0.86,574.20,52749.00
cz26201,Bismarck, ND, ND,0.86,766.50,62194.00
cz26703,Thief River Falls, MN, MN,0.86,588.70,57814.00
cz21301,Mankato, MN, MN,0.86,761.90,56345.00
cz29002,Coldwater, KS, KS,0.86,463.00,55466.00
cz23200,Dubuque, IA & IL, IA,0.85,690.50,58306.00
cz27005,Yankton, NE & SD, NE,0.85,568.00,57252.00
cz26802,Lisbon, ND, ND,0.85,660.50,61898.00
cz21802,Decorah, IA, IA,0.85,555.10,58434.00
cz26302,Carrington, ND, ND,0.85,492.00,62573.00
cz27011,Pierre, SD, SD,0.85,631.30,55449.00
cz22400,Sheboygan, WI, WI,0.85,681.10,53168.00
cz26801,Fargo, MN & ND, MN,0.85,740.80,57817.00
cz26605,Aberdeen, SD, SD,0.85,642.00,56491.00
cz21201,Hutchinson, MN, MN,0.85,702.80,58018.00
cz39204,Condon, OR, OR,0.85,694.20,52730.00
cz27102,Marshall, MN, MN,0.85,615.30,58856.00
cz26803,Jamestown, ND, ND,0.85,644.60,58783.00
cz28002,West Point, NE, NE,0.85,585.10,56583.00
cz26501,Brookings, SD, SD,0.85,634.00,56678.00
cz27101,Willmar, MN, MN,0.85,643.90,57113.00
cz28602,Norton, KS, KS,0.85,675.00,50736.00
cz21701,Rochester, MN, MN,0.85,845.90,57476.00
cz21400,St. Cloud, MN, MN,0.85,849.20,56816.00
cz26704,Grand Forks, MN & ND, MN,0.85,729.00,56051.00
cz22601,Green Bay, WI, WI,0.85,745.60,53872.00
cz22500,Oshkosh, WI, WI,0.85,722.10,53880.00
cz27902,York, NE, NE,0.85,611.10,58507.00
cz26504,Watertown, SD, SD,0.85,633.80,54723.00
cz21302,Owatonna, MN, MN,0.85,831.00,55565.00
cz27504,Carroll, IA, IA,0.84,565.60,59688.00
cz22700,Wausau, WI, WI,0.84,678.80,52857.00
cz26503,Sioux Falls, SD, SD,0.84,770.80,53404.00
cz21702,Austin, MN, MN,0.84,694.80,51521.00
cz26202,East Grant UT, ND, ND,0.84,482.00,67317.00
cz27302,Fairmont, IA & MN, IA,0.84,619.90,54148.00
cz28703,Granby, CO, CO,0.84,971.70,45467.00
cz28603,Phillipsburg, KS, KS,0.84,505.60,54332.00
cz22900,La Crosse, MN & WI, MN,0.84,743.00,50837.00
cz22800,Eau Claire, MN & WI, MN,0.84,712.90,52164.00
cz27202,Worthington, IA & MN, IA,0.84,600.50,56156.00
cz26702,Grafton, MN & ND, MN,0.84,549.00,59161.00
cz27401,Storm Lake, IA, IA,0.84,547.10,57490.00
cz22002,Iowa Falls, IA, IA,0.84,593.20,55299.00
cz29102,Superior, NE, NE,0.84,509.80,60221.00
cz27301,Spencer, IA, IA,0.84,622.90,58469.00
cz26901,Fergus Falls, MN, MN,0.84,676.80,56666.00
cz27802,Columbus, NE, NE,0.84,642.50,57117.00
cz13400,Lima, OH, OH,0.84,693.80,50029.00
cz23802,Clinton, IA, IA,0.84,633.00,52230.00
cz22001,Waterloo, IA, IA,0.84,677.60,53912.00
cz27801,Columbus-Norfolk, NE, NE,0.84,621.30,55606.00
cz23000,Monroe, WI, WI,0.84,662.40,53766.00
cz21900,Marshalltown, IA, IA,0.84,680.10,51723.00
cz23100,Madison, WI, WI,0.84,919.30,52767.00
cz21501,Minneapolis, MN & WI, MN,0.84,1100.00,55524.00
cz26001,Roseau, MN, MN,0.84,639.90,53680.00
cz27201,Sioux Center, IA, IA,0.84,630.60,63464.00
cz22200,Cedar Rapids, IA, IA,0.83,704.20,53586.00
cz27008,Parkston, SD, SD,0.83,518.60,56475.00
cz28305,Broken Bow, NE, NE,0.83,580.60,56023.00
cz27903,Grand Island, NE, NE,0.83,679.10,51762.00
cz27402,Fort Dodge, IA, IA,0.83,588.30,53766.00
cz29202,Marysville, KS, KS,0.83,490.50,55915.00
cz26203,Linton, ND, ND,0.83,503.70,59993.00
cz22100,Iowa City, IA, IA,0.83,814.40,53020.00
cz26902,Little Falls, MN, MN,0.83,626.60,53114.00
cz27003,Ainsworth, NE, NE,0.83,505.50,55168.00
cz27901,Hastings, NE, NE,0.83,613.20,54763.00
cz28102,Nebraska City, NE, NE,0.83,602.30,53798.00
cz28001,Sioux City, IA & NE & SD, IA,0.83,689.00,50643.00
cz26002,Duluth, MN & WI, MN,0.83,768.40,50636.00
cz27503,Atlantic, IA, IA,0.83,583.60,56308.00
cz28101,Lincoln, NE, NE,0.83,780.80,52174.00
cz28201,Red Oak, IA, IA,0.83,594.60,51496.00
cz27006,Mitchell, SD, SD,0.83,622.10,55535.00
cz11402,Marinette, MI & WI, MI,0.83,607.60,49067.00
cz23600,Burlington, IA & IL & MO, IA,0.83,620.80,48997.00
cz28608,Kearney, NE, NE,0.83,701.40,54429.00
cz21801,Mason City, IA, IA,0.83,603.10,53550.00
cz29201,Hiawatha, KS, KS,0.83,548.80,57845.00
cz21101,Rice Lake, WI, WI,0.83,672.00,48503.00
cz27703,Torrington, WY, WY,0.83,653.20,53552.00
cz28601,Oberlin, KS, KS,0.83,584.20,55722.00
cz21003,Ironwood, MI & WI, MI,0.83,494.00,47390.00
cz29008,Center, KS, KS,0.83,568.00,55891.00
cz27701,Scottsbluff, NE, NE,0.83,674.80,51012.00
cz18202,St. Marys, PA, PA,0.83,550.40,51080.00
cz21502,Pine City, MN, MN,0.82,793.60,49146.00
cz22602,Shawano, WI, WI,0.82,613.50,47063.00
cz30605,Van Horn, TX, TX,0.82,531.00,39186.00
cz34305,Miles City, MT, MT,0.82,645.20,51014.00
cz28306,North Platte, NE, NE,0.82,665.70,50592.00
cz13300,Findlay, OH, OH,0.82,680.20,46371.00
cz26407,Plentywood, MT, MT,0.82,656.70,55212.00
cz26304,Minot, ND, ND,0.82,927.20,58894.00
cz29004,Great Bend, KS, KS,0.82,573.60,50137.00
cz23801,Davenport, IA & IL, IA,0.82,723.50,49572.00
cz27501,Des Moines, IA, IA,0.82,872.10,53167.00
cz29402,Emporia, KS, KS,0.82,628.80,48366.00
cz13502,Defiance, OH, OH,0.82,669.00,47862.00
cz34601,Gillette, WY, WY,0.82,942.30,58012.00
cz24100,Milwaukee, WI, WI,0.82,899.90,48290.00
cz27002,Ord, NE, NE,0.82,503.10,55331.00
cz26602,Sisseton, SD, SD,0.82,518.60,49872.00
cz21102,Amery, WI, WI,0.82,697.50,49782.00
cz18600,Albany, NY, NY,0.82,974.70,51729.00
cz26404,Lemmon, ND & SD, ND,0.82,581.50,60282.00
cz26410,Dickinson, ND, ND,0.82,964.00,68165.00
cz28202,Omaha, IA & NE, IA,0.82,913.90,50041.00
cz29006,Hays, KS, KS,0.82,640.90,56140.00
cz26004,International Falls, MN, MN,0.82,614.60,49503.00
cz18000,Buffalo, NY, NY,0.82,818.00,48853.00
cz19000,Allentown, PA, PA,0.82,1028.00,51593.00
cz24801,Jacksonville, IL, IL,0.82,633.50,46028.00
cz28604,Colby, KS, KS,0.82,527.00,56451.00
cz21004,Rhinelander, WI, WI,0.82,685.80,48713.00
cz23302,Douglas, IL, IL,0.82,597.80,50262.00
cz26408,Glasgow, MT, MT,0.82,554.30,51284.00
cz26104,Trenton, MO, MO,0.82,530.40,43362.00
cz27702,Cheyenne, NE & WY, NE,0.82,856.40,48483.00
cz29007,Township 11, KS, KS,0.82,529.90,51330.00
cz34404,Butte-Silver Bow, MT, MT,0.82,567.60,48498.00
cz34604,Lusk, WY, WY,0.82,627.00,51062.00
cz29104,Salina, KS, KS,0.82,764.90,47125.00
cz23700,Galesburg, IL, IL,0.82,622.50,46116.00
cz28704,Laramie, CO & WY, CO,0.82,760.80,50141.00
cz21001,Ashland, WI, WI,0.82,594.00,48342.00
cz27009,Chamberlain, SD, SD,0.82,575.20,48624.00
cz14700,Evansville, IL & IN, IL,0.82,729.80,48943.00
cz26305,Rugby, ND, ND,0.82,507.10,61815.00
cz26106,Centerville, IA, IA,0.82,555.90,48786.00
cz21600,Brainerd, MN, MN,0.82,753.30,49563.00
cz28607,McCook, NE, NE,0.82,585.10,53352.00
cz28609,Lexington, NE, NE,0.82,637.70,50443.00
cz26701,Bemidji, MN, MN,0.82,680.40,49413.00
cz25500,Centralia, IL, IL,0.82,648.80,48430.00
cz26604,Mobridge, SD, SD,0.82,585.10,54369.00
cz29506,Bethany, MO, MO,0.82,566.30,46290.00
cz34403,Helena, MT, MT,0.82,819.80,48826.00
cz26409,Glendive, MT & ND, MT,0.82,608.80,59803.00
cz29101,Concordia, KS, KS,0.82,553.60,51984.00
cz12800,Washington, IN, IN,0.81,745.10,47832.00
cz11401,Marquette, MI, MI,0.81,626.60,47572.00
cz34302,Worland, WY, WY,0.81,658.10,51641.00
cz24802,Springfield, IL, IL,0.81,749.80,46360.00
cz29203,Manhattan, KS, KS,0.81,844.10,46714.00
cz18800,Scranton, PA, PA,0.81,844.10,48328.00
cz25000,Quincy, IL & MO, IL,0.81,622.80,46658.00
cz17700,Syracuse, NY, NY,0.81,787.50,47588.00
cz29103,Beloit, KS, KS,0.81,496.60,55390.00
cz24000,Kenosha, WI, WI,0.81,846.20,46758.00
cz27601,Rapid City, SD, SD,0.81,788.90,47965.00
cz34401,Dillon, MT, MT,0.81,575.80,48768.00
cz34603,Casper, WY, WY,0.81,883.00,53170.00
cz27001,O'Neill, NE, NE,0.81,547.50,55728.00
cz29204,Topeka, KS, KS,0.81,810.00,46686.00
cz19200,Harrisburg, PA, PA,0.81,884.00,49239.00
cz20401,Providence, MA & RI, MA,0.81,980.10,49538.00
cz34602,Rawlins, WY, WY,0.81,816.00,48615.00
cz20500,Boston, MA, MA,0.81,1284.00,54483.00
cz27004,Winner, SD, SD,0.81,542.50,53713.00
cz18500,Amsterdam, NY, NY,0.81,740.70,44111.00
cz29505,Polk, MO, MO,0.81,578.70,51907.00
cz29601,Columbia, MO, MO,0.81,720.90,46319.00
cz27502,Creston, IA, IA,0.81,592.10,49146.00
cz14802,Vincennes, IL & IN, IL,0.81,652.60,46181.00
cz20200,Burlington, VT, VT,0.81,1029.00,49257.00
cz26301,Devils Lake, ND, ND,0.81,506.00,49659.00
cz34203,Great Falls, MT, MT,0.81,725.80,46120.00
cz28302,Ogallala, CO & NE, CO,0.81,609.50,52094.00
cz16300,Pittsburgh, PA, PA,0.81,801.60,51220.00
cz29501,Leavenworth, KS, KS,0.81,988.60,46732.00
cz20901,Bridgeport, CT, CT,0.81,1269.00,52227.00
cz22300,Ottumwa, IA, IA,0.81,622.90,50729.00
cz29005,Hutchinson, KS, KS,0.81,671.90,46635.00
cz20600,Manchester, ME & NH, ME,0.81,1113.00,50947.00
cz14100,Fort Wayne, IN, IN,0.81,730.10,46526.00
cz34308,Billings, MT, MT,0.81,841.10,49100.00
cz31002,Ulysses, KS, KS,0.81,672.70,52048.00
cz15100,Lorain, OH, OH,0.81,849.30,43324.00
cz24400,Rockford, IL, IL,0.81,789.10,46337.00
cz29303,Winfield, KS, KS,0.81,633.40,44633.00
cz23500,Decatur, IL, IL,0.81,753.50,46749.00
cz18900,Williamsport, PA, PA,0.81,730.20,46805.00
cz16200,Altoona, PA, PA,0.81,640.70,47869.00
cz20800,Springfield, MA, MA,0.80,912.90,47568.00
cz29302,Newton, KS, KS,0.80,661.90,50846.00
cz23900,Peoria, IL, IL,0.80,738.10,48381.00
cz26003,West Cook UT, MN, MN,0.80,647.70,46993.00
cz17900,Union, NY & PA, NY,0.80,731.20,46734.00
cz13501,Toledo, MI & OH, MI,0.80,761.30,45401.00
cz16100,State College, PA, PA,0.80,785.20,48837.00
cz36401,Steamboat Springs, CO, CO,0.80,998.20,52257.00
cz13102,Madison, IN & KY, IN,0.80,701.60,43206.00
cz15600,Wheeling, OH & WV, OH,0.80,581.90,47753.00
cz16500,Erie, NY & PA, NY,0.80,677.10,45786.00
cz24701,St. Louis, IL & MO, IL,0.80,927.40,45747.00
cz20902,Pittsfield, MA & VT, MA,0.80,862.60,46303.00
cz28605,Goodland, KS, KS,0.80,571.90,52081.00
cz34304,Sheridan, MT & WY, MT,0.80,759.10,50634.00
cz19500,Toms River, NJ, NJ,0.80,1456.00,55277.00
cz36404,Rock Springs, UT & WY, UT,0.80,832.30,55695.00
cz26105,Polk, MO, MO,0.80,565.00,42840.00
cz24200,Bourbonnais, IL, IL,0.80,805.20,45960.00
cz26101,Moberly, MO, MO,0.80,561.90,42215.00
cz18700,Sunbury, PA, PA,0.80,674.70,48635.00
cz26103,Brookfield, MO, MO,0.80,543.90,46721.00
cz19600,Newark, NJ & NY, NJ,0.80,1419.00,54002.00
cz20301,Berlin, NH & VT, NH,0.80,726.20,45032.00
cz20302,Claremont, NH & VT, NH,0.80,929.20,47019.00
cz29401,Ottawa, KS, KS,0.80,660.70,44753.00
cz24900,Edwardsville, IL, IL,0.80,755.30,46858.00
cz18201,Olean, NY & PA, NY,0.80,634.10,45486.00
cz14801,Olney, IL, IL,0.80,534.20,47130.00
cz28304,Valentine, NE, NE,0.80,575.30,49335.00
cz36302,Salmon, ID, ID,0.80,591.50,45351.00
cz29502,Kansas City, KS & MO, KS,0.80,954.20,45902.00
cz28301,Sterling, CO, CO,0.80,666.90,50957.00
cz18400,Plattsburgh, NY, NY,0.80,724.20,45397.00
cz29503,St. Joseph, KS & MO, KS,0.80,694.60,43990.00
cz31501,Crystal City, TX, TX,0.80,663.10,35678.00
cz28606,Wano, KS & NE, KS,0.80,547.00,54093.00
cz28504,Burlington, CO, CO,0.80,706.90,51940.00
cz26102,Marshall, MO, MO,0.80,607.80,43642.00
cz13101,Louisville, IN & KY, IN,0.80,837.70,42187.00
cz13600,South Bend, IN & MI, IN,0.80,767.00,43519.00
cz24702,Mexico, MO, MO,0.80,651.80,43269.00
cz11700,Lansing, MI, MI,0.80,836.20,46627.00
cz35905,Loa, UT, UT,0.80,548.00,49512.00
cz11403,Sault Ste. Marie, MI, MI,0.80,605.20,41216.00
cz12701,Cincinnati, KY & OH, KY,0.80,881.50,45479.00
cz15500,Steubenville, OH & WV, OH,0.80,617.60,44033.00
cz14400,Terre Haute, IN, IN,0.80,687.60,43823.00
cz19300,Poughkeepsie, NY, NY,0.80,1173.00,49839.00
cz29001,Pratt, KS, KS,0.80,639.00,52019.00
cz14500,Lafayette, IL & IN, IL,0.80,754.70,46422.00
cz13800,Wayne, IN, IN,0.80,691.20,46167.00
cz18100,Elmira, NY & PA, NY,0.80,817.40,45825.00
cz14900,Gary, IN, IN,0.80,896.00,45710.00
cz16000,Mansfield, OH, OH,0.80,677.40,42548.00
cz19903,Chincoteague, VA, VA,0.79,762.30,36436.00
cz13900,Center, IN, IN,0.79,678.30,43344.00
cz13103,Bardstown, KY, KY,0.79,655.90,44485.00
cz34202,Shelby, MT, MT,0.79,537.20,47446.00
cz2300,Lynchburg, VA, VA,0.79,765.10,43060.00
cz28303,Oshkosh, NE, NE,0.79,577.00,51255.00
cz20003,Presque Isle, ME, ME,0.79,550.20,43167.00
cz34301,Cody, WY, WY,0.79,676.40,51174.00
cz17502,Winchester, VA & WV, VA,0.79,984.60,45587.00
cz23301,Charleston, IL, IL,0.79,623.90,45452.00
cz34303,Riverton, WY, WY,0.79,718.00,50115.00
cz17300,Staunton, VA, VA,0.79,779.50,42444.00
cz12200,Grand Rapids, MI, MI,0.79,803.80,46138.00
cz30702,Santa Rosa, NM, NM,0.79,479.10,36036.00
cz17800,Oneonta, NY, NY,0.79,705.30,45165.00
cz34504,Missoula, MT, MT,0.79,782.00,46133.00
cz31003,Scott City, KS, KS,0.79,749.40,56374.00
cz14300,Columbus, IN, IN,0.79,773.00,43254.00
cz19800,Wilmington, DE & MD, DE,0.79,1144.00,44918.00
cz29301,Wichita, KS, KS,0.79,839.90,44616.00
cz13000,Elizabethtown, KY, KY,0.79,711.80,41077.00
cz14200,Indianapolis, IN, IN,0.79,938.70,43418.00
cz2400,Richmond, VA, VA,0.79,1090.00,42681.00
cz39205,John Day, OR, OR,0.79,660.30,48113.00
cz38402,Pullman, ID & WA, ID,0.79,704.20,52166.00
cz12501,Dayton, OH, OH,0.79,785.10,42547.00
cz26412,Williston, ND, ND,0.79,871.10,65797.00
cz15200,Cleveland, OH, OH,0.79,857.20,44701.00
cz11900,Saginaw, MI, MI,0.79,716.20,44527.00
cz11304,Washington DC, DC & MD & VA, DC,0.79,1744.00,49976.00
cz24300,Chicago, IL, IL,0.79,1169.00,47589.00
cz17501,Cumberland, MD & WV, MD,0.79,633.10,43501.00
cz12100,Kalamazoo, MI, MI,0.79,755.50,43995.00
cz20100,Portland, ME, ME,0.79,857.00,44979.00
cz2500,Newport News, VA, VA,0.79,1103.00,41077.00
cz19100,Reading, PA, PA,0.79,915.00,50550.00
cz20700,Keene, NH & VT, NH,0.79,904.30,46012.00
cz31102,La Grange, TX, TX,0.79,714.10,49860.00
cz21002,Houghton, MI, MI,0.79,626.00,49505.00
cz26411,Sidney, MT & ND, MT,0.79,804.60,62391.00
cz16400,Youngstown, OH & PA, OH,0.79,663.20,44185.00
cz28900,Denver, CO, CO,0.79,1307.00,47795.00
cz28701,Salida, CO, CO,0.79,822.90,47845.00
cz19700,Philadelphia, NJ & PA, NJ,0.79,1154.00,48065.00
cz32503,Haskell, TX, TX,0.79,457.60,44191.00
cz30908,Plainview, TX, TX,0.79,611.50,38227.00
cz19901,Dover, DE & MD, DE,0.79,998.20,40074.00
cz15000,Canton, OH, OH,0.79,691.50,45366.00
cz29403,Bartlesville, KS & OK, KS,0.79,664.10,44539.00
cz18300,Watertown, NY, NY,0.79,825.70,44963.00
cz12401,Alpena, MI, MI,0.79,601.10,43289.00
cz34204,Lewistown, MT, MT,0.79,654.80,47564.00
cz38502,Wenatchee, WA, WA,0.79,836.80,47190.00
cz25601,Carbondale, IL, IL,0.79,627.30,43596.00
cz12301,Traverse City, MI, MI,0.79,844.80,44476.00
cz13200,Owensboro, KY, KY,0.78,617.30,45032.00
cz31001,Garden City, KS, KS,0.78,693.30,43947.00
cz38401,Lewiston, ID & WA, ID,0.78,690.40,45771.00
cz31302,Beeville, TX, TX,0.78,816.10,41801.00
cz28800,Fort Collins, CO, CO,0.78,1073.00,48702.00
cz11301,Fredericksburg, VA, VA,0.78,1419.00,47395.00
cz17400,Hagerstown, MD & PA & WV, MD,0.78,897.80,44741.00
cz34402,Bozeman, MT, MT,0.78,924.40,48838.00
cz12002,Ludington, MI, MI,0.78,672.60,43273.00
cz11303,Colonial Beach, VA, VA,0.78,846.50,39712.00
cz16701,Elkins, WV, WV,0.78,565.20,40875.00
cz32603,Seymour, TX, TX,0.78,453.00,46894.00
cz14000,Muncie, IN, IN,0.78,701.40,39835.00
cz31006,Guymon, KS & OK & TX, KS,0.78,638.10,47245.00
cz11500,Jackson, MI, MI,0.78,757.70,43621.00
cz31101,Victoria, TX, TX,0.78,775.60,46579.00
cz17200,Harrisonburg, VA & WV, VA,0.78,807.50,44518.00
cz15900,Columbus, OH, OH,0.78,922.00,43105.00
cz5000,Tupelo, MS, MS,0.78,638.70,36367.00
cz11800,Mount Pleasant, MI, MI,0.78,693.30,43853.00
cz35202,Gunnison, CO, CO,0.78,913.60,50695.00
cz25701,Cape Girardeau, MO, MO,0.78,657.00,41561.00
cz16702,Morgantown, WV, WV,0.78,715.50,46427.00
cz24600,Farmington, MO, MO,0.78,606.90,41304.00
cz26403,Bowman, ND, ND,0.78,585.70,67767.00
cz32502,Childress, TX, TX,0.78,741.60,39796.00
cz31403,Fort Stockton, TX, TX,0.78,882.90,46044.00
cz36503,Lakeview, OR, OR,0.78,554.80,46969.00
cz37602,Winnemucca, NV, NV,0.78,729.30,48596.00
cz2000,Virginia Beach, NC & VA, NC,0.78,1259.00,39316.00
cz29901,Joplin, KS & MO & OK, KS,0.78,682.30,41574.00
cz13700,Concord, IN & MI, IN,0.78,719.00,44871.00
cz2200,South Boston, VA, VA,0.78,666.30,36191.00
cz25401,Paducah, IL & KY, IL,0.78,636.30,42918.00
cz25200,Henderson, KY, KY,0.78,595.30,43218.00
cz8100,Columbia, SC, SC,0.78,879.30,37360.00
cz30902,Littlefield, TX, TX,0.78,659.90,40555.00
cz15400,Zanesville, OH, OH,0.78,627.40,41329.00
cz15300,Parkersburg, OH & WV, OH,0.78,632.50,43318.00
cz4901,Jackson, TN, TN,0.78,757.10,36997.00
cz31007,Dumas, TX, TX,0.78,692.40,45838.00
cz24500,Rolla, MO, MO,0.78,746.30,39938.00
cz31700,Corpus Christi, TX, TX,0.78,912.50,41033.00
cz11302,Baltimore, MD, MD,0.78,1329.00,45021.00
cz402,Martinsville, VA, VA,0.78,585.30,36204.00
cz26107,Kirksville, MO, MO,0.78,573.40,44564.00
cz12302,Petoskey, MI, MI,0.78,751.90,43114.00
cz36502,Burns, OR, OR,0.78,603.20,41708.00
cz30802,Lubbock, TX, TX,0.78,847.10,41020.00
cz29504,Sedalia, MO, MO,0.78,630.40,41488.00
cz16600,Roanoke, VA & WV, VA,0.78,780.80,42677.00
cz25300,Union City, KY & TN, KY,0.78,574.30,39828.00
cz34201,Havre, MT, MT,0.78,574.40,43441.00
cz29003,Dodge City, KS, KS,0.78,663.40,45062.00
cz37800,San Francisco, CA, CA,0.78,1723.00,49937.00
cz2600,Roanoke Rapids, NC & VA, NC,0.78,680.90,32041.00
cz1600,Wilson, NC, NC,0.78,685.80,34831.00
cz1701,Raleigh, NC, NC,0.78,970.00,43417.00
cz31004,Liberal, KS & OK, KS,0.77,714.80,43649.00
cz8202,Charleston, SC, SC,0.77,1062.00,37319.00
cz19902,Easton, MD, MD,0.77,1078.00,43419.00
cz36403,Soda Springs, ID, ID,0.77,559.40,53256.00
cz35701,Twin Falls, ID, ID,0.77,779.60,45002.00
cz35904,Richfield, UT, UT,0.77,706.50,51014.00
cz12901,Lexington-Fayette, KY, KY,0.77,808.90,40073.00
cz401,Winston-Salem, NC, NC,0.77,745.50,40535.00
cz32601,Wichita Falls, TX, TX,0.77,810.50,43424.00
cz39202,Enterprise, OR, OR,0.77,689.20,46713.00
cz8000,Sumter, SC, SC,0.77,736.80,34432.00
cz32403,Snyder, TX, TX,0.77,749.70,47558.00
cz12402,Grayling charter, MI, MI,0.77,698.00,41221.00
cz32401,Big Spring, TX, TX,0.77,744.30,44496.00
cz3500,Baton Rouge, LA, LA,0.77,847.40,41720.00
cz30502,Enid, OK, OK,0.77,717.40,46767.00
cz20403,Oak Bluffs, MA, MA,0.77,1396.00,48840.00
cz20001,Bangor, ME, ME,0.77,768.40,42458.00
cz12001,Big Rapids, MI, MI,0.77,676.50,42106.00
cz35903,Moab, UT, UT,0.77,700.90,46455.00
cz37601,Elko, NV, NV,0.77,904.80,49970.00
cz28502,Pueblo, CO, CO,0.77,845.70,38870.00
cz8800,Savannah, GA & SC, GA,0.77,1046.00,36389.00
cz28401,Colorado Springs, CO, CO,0.77,1134.00,44344.00
cz9702,Americus, GA, GA,0.77,596.00,31555.00
cz11600,Detroit, MI, MI,0.77,982.50,43874.00
cz30401,Stillwater, OK, OK,0.77,766.80,46633.00
cz31900,Pearland, TX, TX,0.77,940.20,48061.00
cz29602,Eldon, MO, MO,0.77,673.60,40680.00
cz31301,San Antonio, TX, TX,0.77,1004.00,39454.00
cz32501,Abilene, TX, TX,0.77,808.80,42680.00
cz37903,Mammoth Lakes, CA, CA,0.77,934.70,47717.00
cz32402,Sweetwater, TX, TX,0.77,605.40,40860.00
cz32302,Brady, TX, TX,0.77,614.60,41577.00
cz4001,Magnolia, AR, AR,0.77,577.70,38182.00
cz33601,Lawton, OK, OK,0.77,761.70,40751.00
cz28503,Trinidad, CO, CO,0.77,737.00,40112.00
cz31201,Austin, TX, TX,0.77,1179.00,44004.00
cz32305,Del Rio, TX, TX,0.77,698.10,40041.00
cz35201,Grand Junction, CO, CO,0.77,928.50,45643.00
cz32604,Vernon, TX, TX,0.77,592.30,39868.00
cz900,Charlotte, NC & SC, NC,0.77,993.20,39880.00
cz19400,New York, NY, NY,0.77,1470.00,46402.00
cz29902,Center, MO, MO,0.77,597.80,40843.00
cz3600,Alexandria, LA, LA,0.77,729.50,37646.00
cz5500,Columbia, TN, TN,0.77,704.50,39576.00
cz34805,Alamosa, CO, CO,0.77,599.00,40821.00
cz700,Spartanburg, NC & SC, NC,0.77,715.10,37292.00
cz39100,Kennewick, OR & WA, OR,0.77,849.30,45803.00
cz12600,Wayne, IN, IN,0.77,664.00,39119.00
cz39400,Seattle, WA, WA,0.77,1285.00,48313.00
cz4301,Stuttgart, AR, AR,0.77,558.20,34664.00
cz32900,Killeen, TX, TX,0.77,910.60,38912.00
cz9800,Auburn, AL, AL,0.77,779.30,36131.00
cz5201,New Albany, MS, MS,0.77,577.30,37132.00
cz32301,San Angelo, TX, TX,0.77,814.70,41297.00
cz39000,Yakima, WA, WA,0.77,822.60,42357.00
cz26804,Cooperstown, ND, ND,0.77,413.00,56960.00
cz37604,Reno, NV, NV,0.77,1072.00,42550.00
cz14600,Bloomington, IN, IN,0.77,736.10,42781.00
cz16901,Charleston, WV, WV,0.77,677.20,41865.00
